operator,modes,n_routes,n_routes_in_connection_model,bikes_carried,bike_policy,restrictions,strongest_condition,policy_source,last_verified,listing_url,website
Ahous Hakuum (MHSS),water-taxi,1,1,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/b42cd19df6/,https://mhssahousaht.ca/ahous-hakuum/
Air Canada,air,13,13,"yes, with conditions",Box or sturdy bag required; Book ahead for your bike; About $50 per direction; No e-bikes,Box or sturdy bag required; No e-bikes,restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/aeb80395be/,https://www.aircanada.com
Alaska Airlines,air,1,1,"yes, with conditions","Rides in the hold (boxed, bagged, or wrapped); Bike fee; No e-bikes",No e-bikes,restriction,listing-description,,https://bccycletourism.ca/wwc/stop/05ad4bc89f/,https://www.alaskaair.com/
Amtrak Cascades,intercity-train,1,1,"yes, with conditions",Roll on the bike car; Reserve bike spot; Bike fee,,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/e73d52aff2/,https://amtrakcascades.com/
BC Bus North (Tahltan NST Busing Ltd.),bus,1,1,"yes, with conditions","Rides in the hold (boxed, bagged, or wrapped); Reserve bike spot",,preparation,listing-description,,https://bccycletourism.ca/wwc/stop/59ccc68831/,https://www.tnst.ca/bc-bus-north/passenger-information
BC Ferries,ferry,25,25,yes,"Roll on, free (no reservation needed); E-bikes OK (no charging on board)",,none,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/b06e4282f9/,https://www.bcferries.com
BC Inland Ferries,inland-ferry,14,14,yes,Roll on; E-bikes OK,,none,listing-description,,https://bccycletourism.ca/wwc/stop/96591f20f2/,https://www2.gov.bc.ca/gov/content/transportation/passenger-travel/water-travel/inland-ferries/kootenay-lake-ferry
BC Transit,bus; local-bus,49,49,yes,"Rack on the bus, free (2 bikes · first come, first served); E-bikes OK",,none,listing-description,,https://bccycletourism.ca/wwc/stop/da412616ad/,https://www.bctransit.com
BLAST (English Bay Launch),water-taxi,2,0,unknown,,,,not-on-file,,,
Blind Channel Water Taxi,water-taxi,1,0,unknown,,,,not-on-file,,,
Budget,rental-car,4,4,"yes, with conditions","One-way between BC Budget branches (bookable online); Bike rides inside (SUV or minivan, seats folded, wheels off); Confirm one-way and vehicle when booking",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/a60b8f9cd0/,https://www.avis.ca
Cape Scott Water Taxi (North Coast Trail Shuttle),water-taxi,3,0,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/bf5c8df747/,https://www.capescottwatertaxi.ca/
Central Mountain Air,air,6,0,unknown,,,,not-on-file,,,
Cormorant Marine Water Taxi,water-taxi,2,0,unknown,,,,not-on-file,,,
Discovery Launch Water Taxi,water-taxi,2,1,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/cc33103e57/,https://discoverylaunch.com/
Discovery West Adventures,water-taxi,1,0,unknown,,,,not-on-file,,,
Ebus,bus,6,6,"yes, with conditions","Rides in the hold (bagged or cloth-wrapped (no plastic), or boxed); $30 per bike",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/af77874ba6/,https://www.myebus.ca
Electric Alpine Biking,local-bus,1,1,"yes, with conditions","Bring your own bike ($19 one-way pass, no extra bike fee); Book ahead (seats may be limited)",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/8436067ac9/,https://electricalpine.com
Epic Rides,bus,1,1,"yes, with conditions","Bikes ride free (outside rack, or boxed under the bus); Box to avoid scratches (outside-rack bikes ride at your own risk)",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/ff02318a56/,https://epicrides.ca
