slug,name,publisher,publisher_id,source_url,regions,communities,start_locality,km,ascent_m,ascent_per_km,length_class,bc_fraction,bc_fraction_source,matched_fraction,bc_match_rate,n_ways,gap_km,gap_cause,drift_km,routed_km,rideable_km,unmatched_km,ferry_km,cross_border_km,unpaved_pct,unpaved_pct_source,rugg_dom,rugg_max,rugg_p75,steep_pct,remote_share,comfort_comfy_pct,comfort_onaxis_km,traffic_floor,fastroad,fast_km,fast_rated,source_difficulty,singletrack_pct,tier,tier_surface_term,tier_climb_term,tier_singletrack_term,tier_remoteness_term,tier_decisive_floor,tier_floor_reason,comfort_label,surface_labels,difficulty_sentence,comfort_km_c1,comfort_km_c2,comfort_km_c3,comfort_km_c4,comfort_km_c5,comfort_km_c6,comfort_km_backcountry,comfort_km_forbidden
10-lakes-overnighter-powell-river,"10 Lakes Overnighter, Powell River",bikepacking.com,bikepacking-com,https://bikepacking.com/routes/10-lakes-overnighter-powell-river/,"Vancouver, Coast and Mountains",Cranberry; Lang Bay; Powell River,Powell River,103.0,2357.0,22.9,Weekend or more,1.0,measured,0.9875,0.9985,46,1.3,none,0.0,0.89,103.46,0.15,0.0,0.0,88,osm,2,2,2,60,0,94,102.3,,,1,TRUE,1,0,Challenging,1,3,0,0,,,Low-traffic riding,Almost all gravel; Max climbing,"Difficulty: Challenging, because of punishing climbs + some loose surface.",0.0,91.4,3.0,1.7,1.0,0.0,5.2,0.0
2025-cccts-sunshine-coast-tour-day-5,Sunshine Coast Tour Day 5,Cross Canada Cycle Tour Society,cross-canada-cycle-tour-society,https://cccts.org/trip-report/2025-sunshine-coast/,Vancouver Island,Bowser; Denman Island; Errington; Hornby Island; Nanaimo; Nanoose Bay; Parksville; Qualicum Bay; Qualicum Beach,Nanaimo,110.0,1135.0,10.3,Weekend or more,1.0,measured,0.9376,0.9952,146,6.88,none,0.0,0.0,98.3,0.47,2.98,0.0,0,osm,0,0,0,4,0,26,102.9,2,mostly,54,TRUE,2,,Ambitious,0,1,0,0,publisher,,Shares roads with traffic,Mostly paved; Some climbing,"Difficulty: Ambitious, because of the route publisher's own rating as a minimum, plus some climbing.",2.4,24.3,7.9,14.5,21.0,32.8,0.0,0.0
2025-evcc-golden-triangle-day-2,Golden Triangle Day 2,Elbow Valley Cycle Club,elbow-valley-cycle-club,https://ridewithgps.com/routes/26776943,Kootenay Rockies,Golden; Nicholson; Radium Hot Springs,Radium Hot Springs,107.0,635.0,5.9,Weekend or more,1.0,measured,0.9903,0.9976,53,1.04,none,0.0,0.0,106.83,0.25,0.0,0.0,0,osm,0,0,0,0,0,1,105.1,2,mostly,102,TRUE,2,,Ambitious,0,0,0,0,publisher,,Shares roads with traffic,Mostly paved; Gentle grades,"Difficulty: Ambitious, because of the route publisher's own rating as a minimum.",0.0,0.7,1.1,1.0,0.0,102.3,0.1,0.0
2025-evcc-golden-triangle-day-3,Golden Triangle Day 3,Elbow Valley Cycle Club,elbow-valley-cycle-club,https://ridewithgps.com/routes/42957140,Kootenay Rockies,Cathedral; Field; Golden,Golden,87.0,1546.0,17.8,Full day,0.808,measured,0.8167,0.9894,77,15.96,cross-border,0.07,0.0,71.04,0.75,0.0,16.04,0,osm,0,0,0,7,36,0,71.1,2,mostly,69,TRUE,2,,Ambitious,0,2,0,0,,,Shares roads with traffic,Mostly paved; Lots of climbing; Remote stretches,"Difficulty: Ambitious, because of lots of climbing.",0.0,0.3,0.0,2.0,3.1,65.7,0.0,0.0
25-fv-bakerview-fort-langley,Bakerview to Fort Langley,Cross Canada Cycle Tour Society,cross-canada-cycle-tour-society,https://ridewithgps.com/routes/52627803,"Vancouver, Coast and Mountains",Abbotsford; Fort Langley; Langley; Maple Ridge; Pitt Meadows; Surrey; White Rock,Surrey,84.0,490.0,5.8,Full day,1.0,measured,0.9512,0.9755,212,4.11,none,0.0,0.0,84.23,2.06,0.0,0.0,2,osm,0,0,0,2,0,29,72.1,,,11,TRUE,2,,Ambitious,0,0,0,0,publisher,,Shares roads with traffic,Mostly paved; Gentle grades,"Difficulty: Ambitious, because of the route publisher's own rating as a minimum.",5.8,15.1,33.0,7.3,10.6,0.2,0.0,0.0
47-ridge-meadows-dyke,Ridge Meadows Dyke,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Coquitlam; Langley; Maple Ridge; Pitt Meadows; Port Coquitlam,Pitt Meadows,7.0,7.0,1.0,Afternoon,1.0,measured,0.9895,1.0,4,0.07,none,0.0,0.0,7.1,0.0,0.0,0.0,99,osm,2,2,1,0,0,100,7.0,,,0,TRUE,0,,Easy,0,0,0,0,,,Low-traffic riding,Almost all gravel; Gentle grades,Difficulty: Easy — no major climbing or rough surface.,6.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
4ferryodyssey,4 Ferry Odyssey,Cross Canada Cycle Tour Society,cross-canada-cycle-tour-society,https://ridewithgps.com/routes/31788876,"Vancouver Island; Vancouver, Coast and Mountains",Black Creek; Campbell River; Comox; Courtenay; Cranberry; Grantham; Heriot Bay; Lazo; Little River; Lund; Mansons Landing; Oyster River; Powell River; Quathiaski Cove; Quinsam; Saratoga Beach,Area B (Lazo North),165.0,1662.0,10.1,Weekend or more,1.0,measured,0.6255,0.9901,112,61.88,none,0.22,0.0,99.92,0.99,10.52,0.0,3,osm,0,0,0,18,0,19,101.9,2,mostly,64,TRUE,2,,Ambitious,0,1,0,0,publisher,,Shares roads with traffic,Mostly paved; Some climbing,"Difficulty: Ambitious, because of the route publisher's own rating as a minimum, plus some climbing.",4.7,15.0,9.5,8.2,17.9,46.6,0.1,0.0
51-pitt-lake-trails,Pitt Lake (Trails),Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Coquitlam; Langley; Maple Ridge; Pitt Meadows; Port Coquitlam; Surrey,Pitt Meadows,50.0,125.0,2.5,Full day,1.0,measured,0.9792,0.9938,44,1.04,none,0.0,0.0,50.23,0.31,0.0,0.0,82,osm,2,3,3,0,0,90,44.2,,,1,TRUE,1,,Ambitious,2,0,0,0,,,Low-traffic riding,Mostly gravel; Chunky gravel; Gentle grades,"Difficulty: Ambitious, because of chunky surface.",34.4,5.2,0.2,3.0,1.5,0.0,0.0,0.2
8-rivers-overnighter,8 Rivers Overnighter,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/8-rivers-overnighter/,Kootenay Rockies,,Regional District of East Kootenay,206.0,3251.0,15.8,Weekend or more,1.0,measured,0.9943,0.9979,63,1.16,none,0.15,0.0,205.76,0.44,0.0,0.0,92,osm,2,3,2,36,69,56,204.6,,,0,TRUE,4,8,Challenging,1,2,0,2,,,Some traffic sharing,Almost all gravel; Chunky gravel; Lots of climbing; Remote stretches,"Difficulty: Challenging, because of lots of climbing + long stretches far from services.",0.9,77.3,89.4,0.0,0.0,0.0,37.1,0.0
aca-alaskan-golden-circle-tour,Alaskan Golden Circle Tour (BC Only),Adventure Cycling Association,adventure-cycling-association,,Northern British Columbia,,,130.0,1971.0,15.2,Weekend or more,1.0,measured,0.9963,0.9973,25,0.49,none,0.14,2.18,130.2,0.35,0.0,0.0,0,osm,0,0,0,0,100,2,129.8,2,mostly,127,TRUE,,,Epic,0,2,0,2,distance,beyond-bc,Shares roads with traffic,Mostly paved; Lots of climbing; Remote stretches,"Difficulty: Epic, because of this being the BC leg of a much longer expedition, plus lots of climbing.",1.6,1.6,0.0,0.0,0.0,126.6,0.0,0.0
